,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
221,5,1,2,1,64,0.0,0.0,0.0,0.0,0.0
73,5,1,0,1,64,0.0,0.0,0.0,0.0,0.0
79,5,1,2,0,64,0.0,0.0,0.0,0.0,0.0
140,5,1,0,1,32,0.57625,0.6625,0.4625,0.54,0.68375
329,5,1,1,3,32,0.58125,0.6625,0.4575,0.54375,0.67625
28,5,1,0,3,16,0.6025,0.67125,0.6175,0.52125,0.56875
84,5,1,0,2,64,0.0,0.0,0.0,0.0,0.0
338,5,1,2,1,32,1.1375,1.305,0.92125,1.0475,1.3075
126,5,1,1,0,32,0.59625,0.695,0.4675,0.55,0.69875
125,5,1,2,2,32,0.92125,0.91375,0.90875,0.985,1.01375
34,5,1,0,2,32,0.5725,0.68375,0.46125,0.5375,0.68125
122,5,1,2,3,16,1.27375,1.42875,1.29,1.33375,1.42875
337,5,1,1,1,64,0.0,0.0,0.0,0.0,0.0
229,5,1,1,3,64,0.0,0.0,0.0,0.0,0.0
108,5,1,0,3,32,0.5775,0.68,0.46125,0.54,0.68
235,5,1,0,0,32,0.58125,0.69,0.455,0.54,0.685
43,5,1,0,0,64,0.0,0.0,0.0,0.0,0.0
20,5,1,2,2,16,1.33375,1.42875,1.25,1.33375,1.43875
72,5,1,0,1,16,0.68,0.67125,0.6675,0.71375,0.725
9,5,1,1,3,16,0.67625,0.73,0.66625,0.71375,0.73
295,5,1,1,2,64,0.0,0.0,0.0,0.0,0.0
2,5,1,2,0,32,1.13,1.3225,0.92125,1.05875,1.29875
58,5,1,0,2,16,0.67625,0.725,0.645,0.565,0.72625
193,5,1,2,0,16,1.33375,1.42875,1.26625,1.33375,1.4275
318,5,1,2,3,64,0.0,0.0,0.0,0.0,0.0
195,5,1,1,2,16,0.67625,0.71375,0.66375,0.71375,0.725
7,5,1,0,3,64,0.0,0.0,0.0,0.0,0.0
175,5,1,1,2,32,0.5775,0.68,0.46125,0.54375,0.67625
303,5,1,2,2,64,0.0,0.0,0.0,0.0,0.0
245,5,1,0,0,16,0.57875,0.61,0.56125,0.6025,0.59625
323,5,1,1,0,64,0.0,0.0,0.0,0.0,0.0
284,5,1,2,3,32,1.13,1.3,0.9175,1.04125,1.29
155,5,1,1,1,16,0.675,0.725,0.66625,0.71375,0.72
355,5,1,1,0,16,0.68625,0.73,0.68,0.71375,0.735
209,5,1,1,1,32,0.5775,0.68,0.4625,0.54,0.68
152,5,1,2,1,16,1.3425,1.4275,1.27625,1.25,1.09375
67,6,1,0,3,16,2.685,2.8775,2.66625,2.8375,2.735
308,6,1,0,2,64,1.81625,2.1275,0.85625,1.19,2.15
87,6,1,2,1,64,0.0,0.0,0.0,0.0,0.0
80,6,1,2,0,32,4.545,5.22875,3.67,4.21,5.22875
249,6,1,0,0,32,2.34125,2.72125,1.8325,2.18625,2.7425
259,6,1,0,0,64,1.80125,2.17375,0.85625,1.185,2.18625
69,6,1,1,1,32,2.3125,2.72125,1.86,2.18125,2.72125
146,6,1,2,2,32,4.5225,5.195,3.6525,4.18875,5.20375
112,6,1,0,2,32,2.325,2.72125,1.85125,2.17375,2.72625
185,6,1,1,2,32,2.3375,2.72375,1.84375,2.18625,2.74
