,pow,iteration,dtype,optimization,tile_dim,copy,shared_copy,naive,coalesced,conflict-free
0,7,1,2,1,64,0.0,0.0,0.0,0.0,0.0
1,8,1,0,2,32,104.49,114.03,40.83,79.88,113.27
2,11,1,0,1,16,669.28,725.28,216.56,649.26,715.93
3,5,1,2,3,32,4.43,4.82,3.35,4.08,4.88
4,13,1,2,0,64,0.0,0.0,0.0,0.0,0.0
5,13,1,0,2,16,730.96,778.07,309.45,752.82,753.18
6,7,1,0,2,16,31.14,32.74,29.91,32.49,32.65
7,10,1,2,1,64,0.0,0.0,0.0,0.0,0.0
8,10,1,0,2,16,815.94,838.49,202.17,732.74,839.34
9,7,1,2,0,16,59.26,61.24,55.29,55.17,61.84
10,14,1,0,2,16,715.97,777.84,299.95,744.76,748.08
11,5,1,0,3,16,0.0,0.0,0.0,0.0,0.0
12,6,1,2,3,16,16.62,17.98,15.42,16.67,18.08
13,12,1,2,1,32,796.02,827.32,199.84,786.35,813.18
14,14,1,2,2,64,0.0,0.0,0.0,0.0,0.0
15,9,1,2,0,32,517.17,512.0,124.2,352.8,506.3
16,5,1,0,2,32,2.0,2.31,1.43,1.72,2.32
17,9,1,0,0,64,315.56,304.31,55.08,141.05,307.05
18,5,1,2,0,16,4.05,4.2,3.83,4.05,4.24
19,6,1,0,2,16,10.77,11.27,10.39,10.96,11.27
20,5,1,0,0,64,0.0,0.0,0.0,0.0,0.0
21,9,1,2,3,32,531.95,520.46,124.61,358.04,515.87
22,8,1,2,1,64,0.0,0.0,0.0,0.0,0.0
23,6,1,0,3,32,0.0,0.0,0.0,0.0,0.0
24,13,1,2,2,16,798.84,831.52,476.18,758.41,761.79
25,10,1,2,1,16,997.2,937.3,377.77,593.84,929.32
26,14,1,2,3,64,0.0,0.0,0.0,0.0,0.0
27,8,1,2,2,32,202.37,205.62,82.51,149.49,202.77
28,13,1,2,0,32,805.55,831.07,218.29,792.43,813.07
29,11,1,2,2,16,772.47,796.11,401.08,657.73,778.8
30,14,1,0,3,32,0.0,0.0,0.0,0.0,0.0
31,5,1,0,2,16,2.03,2.1,1.95,2.12,2.11
32,8,1,2,3,32,196.55,194.68,81.53,148.62,195.05
33,10,1,2,0,64,0.0,0.0,0.0,0.0,0.0
34,14,1,0,1,16,687.18,777.92,300.14,744.75,748.05
35,6,1,2,2,16,15.06,16.2,14.25,15.06,16.24
36,7,1,0,2,64,23.49,27.29,10.38,14.3,27.06
37,10,1,2,3,64,0.0,0.0,0.0,0.0,0.0
38,14,1,0,2,64,740.05,827.87,122.93,518.26,800.84
39,6,1,0,3,16,0.0,0.0,0.0,0.0,0.0
40,8,1,2,2,64,0.0,0.0,0.0,0.0,0.0
41,8,1,0,0,64,88.28,105.79,37.37,57.92,106.22
42,5,1,0,1,16,2.48,2.63,2.41,2.58,2.61
43,5,1,0,1,64,0.0,0.0,0.0,0.0,0.0
44,10,1,2,2,32,896.77,866.88,151.09,511.84,858.25
45,10,1,2,0,16,825.39,782.43,312.73,528.18,827.06
46,11,1,2,0,64,0.0,0.0,0.0,0.0,0.0
47,13,1,0,1,16,672.21,778.9,302.74,753.02,753.43
48,5,1,2,3,16,4.05,4.22,3.82,4.04,4.24
49,5,1,0,2,64,0.0,0.0,0.0,0.0,0.0
50,13,1,0,0,64,740.94,833.98,116.17,514.57,797.87
51,7,1,2,0,64,0.0,0.0,0.0,0.0,0.0
52,7,1,0,0,32,27.71,32.08,18.85,25.2,32.0
53,5,1,2,2,32,3.75,4.06,2.87,3.27,4.09
54,13,1,2,1,64,0.0,0.0,0.0,0.0,0.0
55,14,1,2,3,32,0.0,0.0,0.0,0.0,0.0
56,12,1,2,3,32,792.48,827.89,173.62,785.92,812.42
57,10,1,0,1,16,644.03,662.25,157.33,572.07,657.99
