,pow,iteration,dtype,optimization,seconds,bandwidth
0,4,3,2,2,1e-06,4.096
1,14,1,0,2,1.401093,1.5327202748140203
2,4,2,0,0,4e-06,0.512
3,9,3,2,3,0.000388,10.810061855670103
4,10,2,1,3,0.002361,3.5529894112664127
5,15,2,1,2,6.747848,1.272988750191172
6,5,1,1,2,1e-06,8.192
7,12,2,1,1,0.063224,2.122892066303935
8,6,2,2,2,4e-06,16.384
9,8,1,0,1,6.9e-05,7.5983768115942025
10,9,2,0,3,0.000325,6.452775384615385
11,13,3,0,0,0.31425,1.708419767700875
12,15,1,2,2,8.796619,1.9530082164522529
13,12,3,0,0,0.062052,2.162987945594018
14,1,1,0,1,2e-06,0.016
15,7,3,1,1,5.1e-05,2.5700392156862746
16,13,2,0,3,0.260087,2.064197410866364
17,13,3,1,1,0.310234,1.730535376522238
18,2,3,0,1,2e-06,0.064
19,8,2,0,0,0.000308,1.7022337662337663
20,4,3,2,0,3e-06,1.3653333333333333
21,14,3,0,3,1.285111,1.6710491529525464
22,6,3,1,1,1.8e-05,1.8204444444444445
23,13,2,2,2,0.339363,3.1639920203439975
24,10,3,0,2,0.002375,3.5320454736842106
25,7,2,0,1,1.8e-05,7.281777777777778
26,9,2,0,1,0.000306,6.853437908496732
27,15,2,0,1,8.599124,0.9989313553334037
28,13,1,1,1,0.308708,1.739089728805214
29,9,1,2,3,0.000431,9.731563805104408
30,7,2,1,3,1.4e-05,9.362285714285715
31,2,3,0,3,0.0,inf
32,2,1,0,3,1e-06,0.128
33,5,2,2,0,5e-06,3.2768
34,11,3,0,2,0.010169,3.299678631133838
35,14,2,2,3,4.228869,1.0156302538574733
36,6,3,2,3,4e-06,16.384
37,14,3,1,1,1.542588,1.392130399043685
38,15,3,1,2,6.542592,1.3129253042219353
39,9,2,2,0,0.001145,3.6631475982532753
40,6,2,0,0,4.3e-05,0.7620465116279069
41,15,3,2,1,7.921619,2.168732071562644
42,13,1,2,0,0.421388,2.548107264563775
43,9,2,1,0,0.000575,3.6472208695652175
44,15,2,2,3,7.878256,2.180669069905827
45,4,1,2,1,3e-06,1.3653333333333333
46,7,1,1,1,9.2e-05,1.4246956521739131
47,1,2,0,0,3e-06,0.010666666666666666
48,12,2,2,0,0.094184,2.8501173872419945
49,3,2,0,0,2e-06,0.256
50,7,2,1,1,5.3e-05,2.473056603773585
51,14,1,0,3,1.246074,1.7233997724051702
52,4,2,2,0,2e-06,2.048
53,6,1,2,1,7e-06,9.362285714285715
54,5,1,1,3,1e-06,8.192
55,11,1,0,0,0.011627,2.8859062526877097
56,9,3,2,1,0.000506,8.289138339920948
57,12,1,1,3,0.053528,2.507430279479898
58,8,2,1,2,8.4e-05,6.24152380952381
59,11,2,0,1,0.012323,2.722910979469285
60,4,1,2,0,2e-06,2.048
61,7,1,2,3,1.8e-05,14.563555555555556
62,5,1,0,2,1e-06,8.192
63,1,1,0,3,0.0,inf
64,3,2,2,0,1e-06,1.024
65,10,2,0,2,0.002316,3.6220241796200345
66,13,1,1,0,0.315701,1.7005676637071152
67,10,1,2,0,0.003837,4.372482668751629
68,5,1,2,1,4e-06,4.096
69,5,2,1,1,7e-06,1.1702857142857144
70,4,1,0,1,3e-06,0.6826666666666666
71,9,1,0,3,0.000322,6.512894409937888
72,11,3,0,0,0.012157,2.7600914699350168
73,11,1,0,3,0.010722,3.1294937511658274
74,8,1,1,2,5.9e-05,8.886237288135593
75,10,2,1,0,0.002432,3.449263157894737
76,1,2,2,1,1e-06,0.064
77,9,3,1,1,0.000308,6.808935064935065
78,10,1,1,0,0.002501,3.3541015593762493
79,3,1,2,3,1e-06,1.024
80,12,3,2,1,0.080397,3.338874037588467
81,3,2,0,3,1e-06,0.512
82,9,3,2,2,0.000292,14.364054794520548
83,13,3,2,1,0.442494,2.4265680980985054
84,9,1,1,3,0.000499,4.202709418837675
85,2,2,1,2,1e-06,0.128
86,12,1,2,3,0.067662,3.967300050249771
87,7,2,0,3,1.4e-05,9.362285714285715
88,12,2,1,2,0.050111,2.6784084931452177
89,3,1,1,3,1e-06,0.512
90,4,2,2,3,1e-06,4.096
91,3,3,1,1,2e-06,0.256
92,2,2,2,2,1e-06,0.256
93,7,3,2,3,2e-05,13.1072
94,14,1,2,0,5.373848,0.7992349794783924
95,3,3,2,1,3e-06,0.3413333333333333
96,6,1,0,2,4e-06,8.192
97,12,3,0,2,0.050592,2.652943706514864
98,5,1,0,3,2e-06,4.096
99,13,2,2,0,0.418983,2.5627336288107156
100,5,3,1,1,8e-06,1.024
101,12,1,1,2,0.060432,2.220971141117289
102,12,3,1,1,0.061982,2.165430737956181
103,2,2,0,0,3e-06,0.042666666666666665
104,9,1,1,2,0.000298,7.0374228187919465
105,14,2,1,2,1.258452,1.7064485955761524
106,11,3,2,2,0.013515,4.965509729929708
107,14,2,2,2,4.462195,0.9625234432829582
108,7,2,0,2,1.5e-05,8.738133333333334
109,14,2,2,1,4.314442,0.995486159276217
110,14,3,2,1,4.402272,0.9756251535570724
111,13,3,2,3,0.346132,3.102116602914495
112,9,2,2,3,0.00122,3.4379540983606556
113,10,1,1,3,0.002118,3.9606270066100095
114,7,1,1,0,4.5e-05,2.9127111111111113
115,7,1,0,1,1.9e-05,6.898526315789474
116,12,1,1,1,0.063282,2.1209463670554025
117,4,1,1,3,1e-06,2.048
118,3,2,2,3,1e-06,1.024
119,5,2,2,2,1e-06,16.384
120,10,3,2,2,0.003429,4.8927430737824436
121,1,3,1,0,1e-06,0.032
122,10,2,0,0,0.002475,3.3893365656565657
123,10,1,2,2,0.003528,4.7554467120181405
124,11,3,0,1,0.012077,2.7783747619441916
125,1,1,2,3,0.0,inf
126,11,1,2,2,0.01412,4.752752407932011
127,10,1,0,3,0.002578,3.2539208688906127
128,4,1,0,2,1e-06,2.048
129,12,1,2,2,0.069006,3.890030664000232
130,3,1,2,1,2e-06,0.512
131,15,1,2,3,7.851629,2.1880643092025873
132,13,2,0,1,0.309245,1.736069821662436
133,4,2,2,1,3e-06,1.3653333333333333
134,7,1,1,2,1.7e-05,7.710117647058824
135,1,2,1,2,1e-06,0.032
136,11,1,2,1,0.017307,3.8775561333564452
137,15,3,0,0,1.498864,5.730963310880774
138,10,3,0,0,0.002319,3.6173385079775766
139,1,3,0,0,3e-06,0.010666666666666666
140,3,2,0,2,1e-06,0.512
141,14,3,1,3,1.253545,1.7131284860136653
142,1,2,2,3,0.0,inf
143,12,1,0,3,0.0532,2.5228896240601504
144,13,2,0,2,0.249471,2.1520373590517536
145,12,2,1,3,0.049974,2.685751150598311
146,7,2,2,0,4.5e-05,5.8254222222222225
147,3,3,2,2,1e-06,1.024
148,6,2,0,3,4e-06,8.192
149,7,2,2,1,2.7e-05,9.709037037037037
150,15,3,1,3,6.596008,1.302292931118337
151,4,2,2,2,1e-06,4.096
152,15,3,0,3,6.59619,1.3022569986613484
153,13,2,1,2,0.252104,2.1295612604322027
154,3,3,2,0,2e-06,0.512
155,5,1,2,3,2e-06,8.192
156,10,3,0,3,0.002405,3.487986694386694
157,7,1,0,3,1.4e-05,9.362285714285715
158,2,3,1,0,1e-06,0.128
159,11,2,0,2,0.009593,3.4978038152819764
160,4,1,1,0,2e-06,1.024
161,13,3,0,2,0.249228,2.1541356187908263
162,8,3,1,1,0.000208,2.5206153846153847
163,4,3,0,0,4e-06,0.512
164,2,3,2,2,1e-06,0.256
165,2,3,0,0,1e-06,0.128
166,8,3,0,3,7.7e-05,6.808935064935065
167,3,3,0,2,1e-06,0.512
168,1,2,0,3,0.0,inf
169,9,1,2,0,0.000826,5.077849878934625
170,13,3,0,3,0.261911,2.0498219318776227
171,3,1,1,0,1e-06,0.512
172,13,3,0,1,0.309868,1.7325793950972672
173,1,3,1,3,0.0,inf
174,3,3,1,0,1e-06,0.512
175,4,3,1,0,2e-06,1.024
176,9,3,1,3,0.000245,8.559804081632652
177,4,2,0,1,2e-06,1.024
178,7,3,2,1,2.5e-05,10.48576
179,1,1,1,1,1e-06,0.032
180,6,2,1,2,4e-06,8.192
181,1,3,2,2,1e-06,0.064
182,9,2,2,2,0.000342,12.264046783625732
183,11,3,2,0,0.016634,4.034439341108572
184,10,1,1,1,0.002696,3.1115014836795254
185,12,1,0,1,0.06291,2.1334879669368942
186,11,1,1,3,0.009942,3.3750183061758197
187,8,2,0,2,8.4e-05,6.24152380952381
188,8,1,0,2,6.1e-05,8.59488524590164
189,10,2,2,0,0.008748,1.9178344764517603
190,11,3,0,3,0.010314,3.25328989722707
191,13,3,1,2,0.250576,2.142547219206947
192,11,2,2,2,0.013612,4.930125183661475
193,11,1,0,2,0.009953,3.3712882547975487
194,7,1,0,0,0.000119,1.1014453781512605
195,2,2,1,3,1e-06,0.128
196,4,1,1,2,1e-06,2.048
197,1,2,1,0,2e-06,0.016
198,5,1,2,0,5e-06,3.2768
199,10,3,0,1,0.00269,3.1184416356877325
200,11,1,1,2,0.01008,3.3288126984126984
201,2,1,2,0,1e-06,0.256
202,6,3,0,1,6e-06,5.461333333333333
203,5,2,1,3,2e-06,4.096
204,15,1,0,3,6.616545,1.2982507625958866
205,15,3,2,2,8.679441,1.979375075422484
206,7,1,0,2,1.5e-05,8.738133333333334
207,5,3,2,1,3e-06,5.461333333333333
208,6,2,0,1,5e-06,6.5536
209,8,1,2,1,8.3e-05,12.63344578313253
210,4,2,0,3,1e-06,2.048
211,10,2,0,1,0.002862,2.9310300489168415
212,6,1,0,0,3.7e-05,0.8856216216216216
213,14,2,0,1,1.549377,1.3860304160962762
214,12,3,0,3,0.050001,2.6843008739825205
215,11,3,1,0,0.012037,2.787607543407826
216,13,1,0,0,0.306796,1.7499280042764573
217,8,1,0,3,5.5e-05,9.532509090909091
218,8,2,1,1,0.000264,1.985939393939394
219,12,1,0,2,0.056379,2.3806333563915643
220,12,1,2,1,0.082757,3.24365861498121
221,13,2,2,3,0.342241,3.1373851291925865
222,6,2,1,0,1.4e-05,2.3405714285714287
223,8,2,1,3,5.6e-05,9.362285714285715
224,1,1,0,0,2e-06,0.016
