,pow,iteration,dtype,optimization,seconds,bandwidth
0,4,3,2,2,1e-06,4.096
1,14,1,0,2,0.554536,3.872577520665926
2,4,2,0,0,1e-06,2.048
3,9,3,2,3,0.000512,8.192
4,10,2,1,3,0.000675,12.427567407407407
5,15,2,1,2,3.21542,2.6714813592003535
6,5,1,1,2,3e-06,2.7306666666666666
7,12,2,1,1,0.030578,4.389356007587154
8,6,2,2,2,6e-06,10.922666666666666
9,8,1,0,1,7.7e-05,6.808935064935065
10,9,2,0,3,0.000182,11.522813186813186
11,13,3,0,0,0.204255,2.6284346135957506
12,15,1,2,2,4.544449,3.780407522232068
13,12,3,0,0,0.046831,2.866001750976917
14,1,1,0,1,1e-06,0.032
15,7,3,1,1,1.8e-05,7.281777777777778
16,13,2,0,3,0.112236,4.783410955486653
17,13,3,1,1,0.136954,3.920082012938651
18,2,3,0,1,1e-06,0.128
19,8,2,0,0,0.00015,3.4952533333333333
20,4,3,2,0,1e-06,4.096
21,14,3,0,3,0.504538,4.256336783354276
22,6,3,1,1,5e-06,6.5536
23,13,2,2,2,0.206038,5.2113776293693395
24,10,3,0,2,0.001183,7.0909619611158075
25,7,2,0,1,1.7e-05,7.710117647058824
26,9,2,0,1,0.000278,7.543712230215827
27,15,2,0,1,3.290212,2.610754137423364
28,13,1,1,1,0.13828,3.8824914087358984
29,9,1,2,3,0.000242,17.331834710743802
30,7,2,1,3,1.6e-05,8.192
31,2,3,0,3,0.0,inf
32,2,1,0,3,1e-06,0.128
33,5,2,2,0,4e-06,4.096
34,11,3,0,2,0.00617,5.43831961102107
35,14,2,2,3,0.976877,4.396630585017356
36,6,3,2,3,5e-06,13.1072
37,14,3,1,1,0.574063,3.7408501296895986
38,15,3,1,2,3.225967,2.662747198591926
39,9,2,2,0,0.000927,4.524599784250269
40,6,2,0,0,1.3e-05,2.5206153846153847
41,15,3,2,1,4.653519,3.6918016632144406
42,13,1,2,0,0.267392,4.015609382479655
43,9,2,1,0,0.000841,2.493640903686088
44,15,2,2,3,4.156817,4.13293854023403
45,4,1,2,1,2e-06,2.048
46,7,1,1,1,1.9e-05,6.898526315789474
47,1,2,0,0,1e-06,0.032
48,12,2,2,0,0.066161,4.05730650987742
49,3,2,0,0,0.0,inf
50,7,2,1,1,1.8e-05,7.281777777777778
51,14,1,0,3,0.512197,4.192690796705174
52,4,2,2,0,1e-06,4.096
53,6,1,2,1,6e-06,10.922666666666666
54,5,1,1,3,2e-06,4.096
55,11,1,0,0,0.010743,3.1233763380806105
56,9,3,2,1,0.000341,12.300011730205279
57,12,1,1,3,0.026443,5.075737548689634
58,8,2,1,2,6.1e-05,8.59488524590164
59,11,2,0,1,0.0061,5.500726557377049
60,4,1,2,0,2e-06,2.048
61,7,1,2,3,1e-05,26.2144
62,5,1,0,2,3e-06,2.7306666666666666
63,1,1,0,3,1e-06,0.032
64,3,2,2,0,1e-06,1.024
65,10,2,0,2,0.001704,4.922892018779343
66,13,1,1,0,0.222284,2.4152476651490886
67,10,1,2,0,0.003876,4.3284871001031995
68,5,1,2,1,3e-06,5.461333333333333
69,5,2,1,1,3e-06,2.7306666666666666
70,4,1,0,1,1e-06,2.048
71,9,1,0,3,0.000332,6.316722891566265
72,11,3,0,0,0.010504,3.1944432597105865
73,11,1,0,3,0.005023,6.680157674696397
74,8,1,1,2,6.4e-05,8.192
75,10,2,1,0,0.002608,3.216490797546012
76,1,2,2,1,0.0,inf
77,9,3,1,1,0.000279,7.516673835125448
78,10,1,1,0,0.002556,3.281928012519562
79,3,1,2,3,0.0,inf
80,12,3,2,1,0.046872,5.726989588667008
81,3,2,0,3,1e-06,0.512
82,9,3,2,2,0.00073,5.7456219178082195
83,13,3,2,1,0.208571,5.148087816618801
84,9,1,1,3,0.000237,8.848742616033755
85,2,2,1,2,1e-06,0.128
86,12,1,2,3,0.045053,5.958214902448228
87,7,2,0,3,1.6e-05,8.192
88,12,2,1,2,0.029662,4.524904861438878
89,3,1,1,3,1e-06,0.512
90,4,2,2,3,1e-06,4.096
91,3,3,1,1,1e-06,0.512
92,2,2,2,2,0.0,inf
93,7,3,2,3,1.6e-05,16.384
94,14,1,2,0,1.327199,3.2361140235940504
95,3,3,2,1,1e-06,1.024
96,6,1,0,2,6e-06,5.461333333333333
97,12,3,0,2,0.03023,4.439885147204763
98,5,1,0,3,2e-06,4.096
99,13,2,2,0,0.268824,3.994218611433503
100,5,3,1,1,3e-06,2.7306666666666666
101,12,1,1,2,0.031853,4.213660502935359
102,12,3,1,1,0.029994,4.474819230512769
103,2,2,0,0,1e-06,0.128
104,9,1,1,2,0.00041,5.11500487804878
105,14,2,1,2,0.55245,3.8872000144809484
106,11,3,2,2,0.010136,6.620842936069455
107,14,2,2,2,1.056287,4.066098793225705
108,7,2,0,2,1.6e-05,8.192
109,14,2,2,1,1.066601,4.02677973862766
110,14,3,2,1,1.064234,4.035735840050215
111,13,3,2,3,0.202174,5.310978780654288
112,9,2,2,3,0.000209,20.06844019138756
113,10,1,1,3,0.000702,11.949584045584045
114,7,1,1,0,4.9e-05,2.674938775510204
115,7,1,0,1,1.8e-05,7.281777777777778
116,12,1,1,1,0.031502,4.2606097390641855
